name,class,section,email,phone,notify
Student Aman1,,A,raiaman15@gmail.com,7007488735,yes
Student Aman2,6,A,,7007488735,yes
Student Aman3,6,A,raiaman15@gmail.com,,yes
Student Aman4,6,,raiaman15@gmail.com,7007488735,yes
Student Aman5,6,A,raiaman15@gmail.com,7007488735,
Student Aman6,6,A,raiaman15gmail.com,7007488735,yes
Student # Aman7,6,A,raiaman15@gmail.com,7007488735,yes
Student Aman8,6,A,raiaman15@gmail.com,7007488735,1
Student Aman9,6,1,raiaman15@gmail.com,7007488735,yes
Student Aman10,A,A,raiaman15@gmail.com,7007488735,yes
Student Aman11,9,A,raiaman16@gmail.com,7007488735,no
